A,grad
0.001,1.265672e+16
0.0111836735,2.1867302e+17
0.021367347,5.925488e+17
0.031551022,8.214077e+17
0.04173469,9.715202e+17
0.051918365,1.0356152e+18
0.062102042,1.08148074e+18
0.07228571,1.1643512e+18
0.08246939,1.258617e+18
0.092653066,1.349363e+18
0.10283673,1.3981507e+18
0.113020405,1.4214857e+18
0.12320408,1.4057082e+18
0.13338774,1.3690443e+18
0.14357142,1.3172962e+18
0.1537551,1.2680516e+18
0.16393878,1.228661e+18
0.17412244,1.1943287e+18
0.18430613,1.1720303e+18
0.19448979,1.148083e+18
0.20467345,1.14194405e+18
0.21485715,1.1397797e+18
0.22504081,1.162244e+18
0.23522449,1.187472e+18
0.24540816,1.2102506e+18
0.25559184,1.2489244e+18
0.2657755,1.2941705e+18
0.27595916,1.3349208e+18
0.28614283,1.394269e+18
0.29632655,1.4465347e+18
0.3065102,1.5030251e+18
0.31669387,1.5471834e+18
0.32687753,1.608659e+18
0.33706123,1.6560847e+18
0.3472449,1.6875373e+18
0.35742855,1.736761e+18
0.36761224,1.7691242e+18
0.3777959,1.8011257e+18
0.3879796,1.8516936e+18
0.39816326,1.8818256e+18
0.40834692,1.9287636e+18
0.41853058,1.9518939e+18
0.42871428,1.9902731e+18
0.43889797,2.0231046e+18
0.44908163,2.0497208e+18
0.4592653,2.0703726e+18
0.46944895,2.1088338e+18
0.47963265,2.1197898e+18
0.48981634,2.1260792e+18
0.5,2.1284606e+18
0.501,2.1259474e+18
0.5111837,2.124169e+18
0.5213674,2.1194497e+18
0.531551,2.1120807e+18
0.5417347,2.1026696e+18
0.5519183,2.0913357e+18
0.562102,2.0784165e+18
0.5722857,2.0641868e+18
0.5824694,2.0489031e+18
0.5926531,2.0326812e+18
0.6028367,1.990067e+18
0.61302036,1.974462e+18
0.62320405,1.9583079e+18
0.63338774,1.9417352e+18
0.64357144,1.9003929e+18
0.6537551,1.8854339e+18
0.66393876,1.8702704e+18
0.6741224,1.8309304e+18
0.68430614,1.8179482e+18
0.6944898,1.8047249e+18
0.70467347,1.7682756e+18
0.71485716,1.7576008e+18
0.7250408,1.7468255e+18
0.7352245,1.7137605e+18
0.7454082,1.7059458e+18
0.7555918,1.673515e+18
0.7657755,1.6692362e+18
0.7759592,1.6655338e+18
0.7861428,1.662986e+18
0.7963266,1.63794e+18
0.8065102,1.6401382e+18
0.81669384,1.6437454e+18
0.82687753,1.6237317e+18
0.8370612,1.6324578e+18
0.84724486,1.6427399e+18
0.85742855,1.6281405e+18
0.86761224,1.6435659e+18
0.87779593,1.6605902e+18
0.88797957,1.6518113e+18
0.89816326,1.6740375e+18
0.9083469,1.6977478e+18
0.9185306,1.6951656e+18
0.9287143,1.7244843e+18
0.93889797,1.7562248e+18
0.94908166,1.7599294e+18
0.9592653,1.7983546e+18
0.969449,1.8406226e+18
0.9796326,1.8874955e+18
0.98981637,1.9395579e+18
1,1.9967155e+18
